barcode_norm,spar_names,prima_names
5900951310973,"Snickers karamellás földimogyorós krémes szelet földimogyoró darabokkal 2 x 37,5 g (75 g)","Snickers karamellás földimogyorós krémes szelet mogyoró darabokkal tejcsokoládéba 2 x 37,5 g (75 g)"
5900951311321,Mars tejcsokoládé karamella belsővel és lágy töltelékkel 51 g,Mars karamellás kakaós krémes szelet tejcsokoládéba mártva 51 g
5900951312250,"Twix Xtra kekszes szeletek karamellával tejcsokoládéba mártva 2 x 37,5 g (75 g)","Twix Xtra kekszes szeletek karamellával, tejcsokoládéba mártva 2 x 37,5 g (75 g)"
5901414203931,Bahlsen Hit kakaós keksz 220 g,Bahlsen Hit kakaós keksz 220g
5901594001914,"1664 Rosé málna ízű ízesített búzasör, bodza és málna gyümölcslével 4,5% 500 ml",Kronenbourg 1664 Rosé málna ízű búzasör 4.5% DRS 0.5l
5901594001921,"1664 Rosé málna ízű ízesített búzasör, bodza és málna gyümölcslével 4,5% 330 ml",Kronenbourg 1664 Rosé málna ízű búzasör 4.5% DRS 0.33l
5990031647471,Danone görög stílusú natúr joghurt 375 g,Danone görög stílusú natúr joghurt 375g
5993330000480,Sprite citrom- és limeízű szénsavas üdítőital 1 l,Sprite fresh szénsavas üdítőital citrom-lim ízű DRS 1l
5995099437170,"Zwack Unicum Szilva gyógynövénylikőr 34,5% 0,7 l","Zwack Unicum Szilva gyógynövénylikőr 34,5% 0.7l"
5995663909096,Master Good Füstli Klasszik füst ízesítésű virsli csirkehúsból 350 g,Füstli virsli classic 350g
5995663909119,Master Good Füstli Klasszik füst ízesítésű virsli csirkehúsból 140 g,Füstli virsli classic 140g
5995663940143,Master Good szeletelt selyemsonka 100 g,Sága selyemsonka comb 100g
5995863032174,"Horváth Rozi őrölt, szárított kömény 17 g",Horváth Rozi köménymag őrölt 17g
5995885813959,Gallio pulykamellfilé 450 g,Gallio pulyka mellfilé 450g
5996358010554,Delikát ételízesítő 75 g,Delikát ételízesítő 75g
5996358010561,Delikát ételízesítő 250 g,Delikát 250g
5997003583027,"Vénusz Omega finomított étolaj, 1000 ml",Vénusz omega 3&6 étolaj (életmód) 1l
5997003584383,Floriol Omega+ finomított repceétolaj és nagy olajsavtartalmú napraforgó-étolaj keveréke 1 l,Floriol repceétolaj és napraforgó-étolaj keveréke balance 1l
5997010302239,Univer ketchup 470 g,Univer ketchup 470g
5997010308514,Univer sárgabaracklekvár cukorral és édesítőszerrel 280 g,Univer csökk. energia- és cukortart. sárgabaracklekvár 280g
5997100004852,Douwe Egberts Omnia Silk őrölt-pörkölt kávé 250 g,Douwe Egberts Omnia silk őrölt kávé 250g
5997100012123,Douwe Egberts Omnia Classic őrölt-pörkölt kávé 250 g,Douwe Egberts Omnia classic őrölt kávé 250g
5997100091586,Douwe Egberts Omnia Gold őrölt-pörkölt kávé 250 g,Douwe Egberts Omnia gold őrölt-pörkölt kávé 250g
5997132504009,Gyermelyi cérnácska 8 tojásos száraztészta 250 g,Gyermelyi száraztészta 8 tojásos cérnácska 250g
5997132504023,Gyermelyi eperlevél 8 tojásos száraztészta 250 g,Gyermelyi száraztészta 8 tojásos eperlevél 250g
5997132505020,Gyermelyi étkezési búzadara BD 1 kg,Gyermelyi étkezési búzadara 1kg
5997132559030,Gyermelyi Vita Pasta Fusilli Tricolore durum száraztészta 500 g,Gyermelyi v.p.durum sz.tészta tricolor fusilli (z.orsó)500g
5997381325233,Dr. Oetker szalalkáli 15 g,Dr. Oetker Szalalkáli 15g
5997381367134,Dr. Oetker tiramisu krémpor 68 g,Dr. Oetker tiramisu krémpor 68g
5997381369008,Dr. Oetker Vitalis erdei gyümölcsös zabkása alappor 53 g,Dr. Oetker Vitalis zabkása erdei gyümölcsös -30% cukor 53g
5997536113227,"Danone Oikos Görög kekszízű, élőflórás krémjoghurt 4 x 125 g",Danone Oikos görög keksz ízű élőflórás krémjoghurt 4x125g
5997536134314,Danone Actimel Kids zsírszegény eper-banánízű joghurtital B6- és D-vitaminnal 4 x 100 g (400 g),Danone Actimel Actikids joghurtital eper-banán 4x100g
5997536302058,"Danone Activia élőflórás, krémes natúr joghurt 4 x 125 g",Danone Activia élőflórás natúr joghurt 4x125g
5997536303703,Danone Actimel eperízű zsírszegény joghurtalapú ital B6- és D-vitaminnal 4 x 100 g (400 g),Danone Actimel joghurtital eper 4x100g
5997536305028,"Danone eperízű, élőflórás, zsírszegény joghurt 4 x 125 g",Danone könnyű és finom joghurt eper 4x125g
5997536305042,"Danone sárgabarackízű, élőflórás, zsírszegény joghurt 4 x 125 g",Danone könnyű és finom joghurt sárgabarack 4x125g
5997536305417,Danone zsírszegény kaukázusi kefir 330 g,Danone kaukázusi kefír 330g
5997684536299,"Medve natúr, kenhető, zsíros ömlesztett sajt 100 g",Medve sajtkrém natúr tömlős 100g
5998001656164,Gyulai sertés májas 125 g,Gyulai májas laktózmentes 125g
5998002084829,Kometa Kemencés szeletelt sült sertés sonka 90 g,Kometa kemencés sült sonka 90g
5998003100863,PICK Nosztalgia párizsi szeletelt 100 g,Pick nosztalgia marha párizsi szeletelt 100g
5998003104250,PICK Borjú májas 150 g,Pick borjú májas 150g
5998003127594,PICK Nosztalgia párizsi 400 g,PICK nosztalgia marhapárizsi 400g
5998003157317,PICK Pickolino virsli sertéshúsból 140 g,Pick Pickolino virsli vg. 140g
5998003165725,PICK Pickolino roppanós frankfurti virsli sertéshúsból 300 g,Pick Pickolino roppanós frankfurti virsli sertéshúsból 300g
