name,barcode_file1,internal_conflict_file1,barcode_file2,internal_conflict_file2,status
BB Hosszú7vége Dunántúli Olaszrizling száraz fehérbor 3 l,,,5998813134447.0,False,only_in_file2
BB Hosszú7vége Dunántúli Rosé Cuvée száraz rosébor 3 l,,,5998813134454.0,False,only_in_file2
Babarczi Pannonhalmi Borvidék Rajnai Rizling száraz fehérbor 13% 750 ml,,,5999882024714.0,False,only_in_file2
"Bacardi Carta Negra rum 37,5% 700 ml",,,5995757004959.0,False,only_in_file2
Bacardi Reserva Ocho 8 éves rum 40% 700 ml,,,5995757004300.0,False,only_in_file2
BackMit darált mandula 200 g,,,9001458065314.0,False,only_in_file2
BackMit darált mák 200 g,,,9001458065260.0,False,only_in_file2
"Baileys sós karamell ízű, ír krémlikőr 17% 700 ml",,,5011013934546.0,False,only_in_file2
Balaton Expressz tejcsokoládéval mártott kókuszos szelet 35 g,,,8445291464193.0,False,only_in_file2
Balaton S.Ó.S. hagymaízű krémmel töltött ostya 56 g,,,8445291784314.0,False,only_in_file2
Balaton S.Ó.S. paprikaízű krémmel töltött ostya 56 g,,,8445291784154.0,False,only_in_file2
Balaton S.Ó.S. sajtízű krémmel töltött ostya 56 g,,,8445291784215.0,False,only_in_file2
"Balaton Újhullám tejcsokoládéval mártott, kakaós krémmel töltött ostya 30 g",,,8445291034587.0,False,only_in_file2
Balconi Trancetto Al Cacao Magro édes sütőipari termék zsírszegény kakaós töltelékkel 10 x 28 g,,,8001585001224.0,False,only_in_file2
"Balconi Trancetto All'Albicocca édes sütőipari termék, sárgabarack töltelékkel 10 x 28 g (280 g)",,,8001585001507.0,False,only_in_file2
Ballantine's Finest whiskey 40% 1 l,,,5998829900760.0,False,only_in_file2
"Barilla Aglio fokhagymás, vörösboros, zöldfűszeres paradicsomszósz 400 g",,,8076809572996.0,False,only_in_file2
Barilla Bavette szálas durum száraztészta 500 g,,,8076800195132.0,False,only_in_file2
Barilla Cannelloni cső száraztésza durum búzadarából 250 g,,,8076808070882.0,False,only_in_file2
Barilla Elbows apró száraztészta durum búzadarából 500 g,,,8076809547956.0,False,only_in_file2
Barilla Gnocchi apró durum száraztészta 500 g,,,8076802085851.0,False,only_in_file2
Barilla Lasagne 4 tojásos durum száraztészta lapok 500 g,,,8076800376999.0,False,only_in_file2
Barilla Linguine szálas durum száraztészta 500 g,,,8076809523509.0,False,only_in_file2
Barilla Pappardelle 6 tojásos szélesmetélt szálas durum száraztészta 250 g,,,8076809514774.0,False,only_in_file2
Barilla Penne Rigate apró durum száraztészta 1 kg,,,8076800105735.0,False,only_in_file2
Barilla Piccolini Mini Pipe Rigate apró durum száraztészta 500 g,,,8076809523523.0,False,only_in_file2
Barilla Spaghetti N.5 teljes kiőrlésű szálas durum száraztészta 500 g,,,8076809529419.0,False,only_in_file2
Barilla Spaghettoni szálas durum száraztészta 500 g,,,8076808150072.0,False,only_in_file2
Barilla Stelline apró száraztészta durum búzadarából 500 g,,,8076809578998.0,False,only_in_file2
"Barilla Tonno paradicsomszósz tonhaldarabokkal, olívaolajjal 400 g",,,8076809513418.0,False,only_in_file2
Barilla Toscana paradicsomszósz fűszernövényekkel 400 g,,,8076809523561.0,False,only_in_file2
