product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,barcode_status,unit_price_old,unit_price_new,price_diff,categories_old,categories_new
Kovászos spanyol bagett,Kovászos spanyol bagett,5907377307907,,lost_barcode,299.0,405.0,106.0,zsemle-kifli-bagel-baguette-32,zsemle-kifli-bagel-baguette-84
Kígyóuborka db,Kígyóuborka db,8436557064172,,lost_barcode,349.0,314.0,-35.0,uborka-16,uborka-63
Mangó db,Mangó db,5998899710191,,lost_barcode,599.0,624.0,25.0,egzotikus-es-deligyumolcs-10,egzotikus-es-deligyumolcs-54
Mézdinnye db,Mézdinnye db,5998470509190,,lost_barcode,999.0,1354.0,355.0,dinnyek-9,dinnyek-53
Olívás paillasse 300 g,Olívás paillasse 300 g,5998377300012,,lost_barcode,569.0,594.0,25.0,kenyerek-27,kenyerek-80
Olívás stangli,Olívás stangli,5998704370084,,lost_barcode,139.0,150.0,11.0,sos-pekaru-28,zsemle-kifli-bagel-baguette-84
Padlizsán lédig,Padlizsán lédig,5999562011041,,lost_barcode,389.7,311.7,-78.0,uborka-16,uborka-63
Piknik csomag 1 kg,Piknik csomag 1 kg,5999559683008,,lost_barcode,1699.0,1439.0,-260.0,paprika-15,paprika-62
PurPur zsemle,PurPur zsemle,5998704373061,,lost_barcode,149.0,164.0,15.0,zsemle-kifli-bagel-baguette-32,zsemle-kifli-bagel-baguette-84
REGNUM Rib-eye steak tálcás,REGNUM Rib-eye steak tálcás,2004000660019,,lost_barcode,4119.5,3579.95,-539.5500000000002,marha-120,marha-125
REGNUM T-Bone steak tálcás,REGNUM T-Bone steak tálcás,2004000650010,,lost_barcode,3596.0,3125.6,-470.4000000000001,marha-120,marha-125
REGNUM darált sertéshús 400 g,REGNUM darált sertéshús 400 g,5999033800365,,lost_barcode,1299.0,1404.0,105.0,daralthus-124,sertes-126
"REGNUM füstölt, főtt darabolt sertés császárszalonna","REGNUM füstölt, főtt darabolt sertés császárszalonna",92002511910077,,lost_barcode,1347.3,1414.8,67.5,szalonna-bacon-67,szalonna-bacon-121
REGNUM marha bélszín steak csont nélkül,REGNUM marha bélszín steak csont nélkül,2004266090025,,lost_barcode,9745.0,8474.5,-1270.5,marha-120,marha-125
REGNUM marha gulyáshús tálcás,REGNUM marha gulyáshús tálcás,2003572140011,,lost_barcode,4023.8,3496.18,-527.6200000000003,marha-120,marha-125
REGNUM marha hátszín steak csont nélkül,REGNUM marha hátszín steak csont nélkül,2004266260022,,lost_barcode,4596.0,3986.0,-610.0,marha-120,marha-125
REGNUM sertés pörkölthús tálcás,REGNUM sertés pörkölthús tálcás,2003963030013,,lost_barcode,1668.87,1804.32,135.45000000000005,sertes-121,sertes-126
REGNUM sertéscsülök csont nélkül,REGNUM sertéscsülök csont nélkül,2003556140013,,lost_barcode,2308.9,2495.9,187.0,sertes-121,sertes-126
REGNUM sertésoldalas tálcás,REGNUM sertésoldalas tálcás,2002630970010,,lost_barcode,1640.25,1489.5,-150.75,sertes-121,sertes-126
REGNUM szeletelt marhapárizsi 100 g,REGNUM szeletelt marhapárizsi 100 g,5999033899574,,lost_barcode,330.0,310.0,-20.0,parizsi-63,parizsi-117
Retro kifli 85 g,Retro kifli 85 g,5999028637693,,lost_barcode,149.0,149.0,0.0,zsemle-kifli-bagel-baguette-32,zsemle-kifli-bagel-baguette-84
Rozsos-magvas buci,Rozsos-magvas buci,5998704372262,,lost_barcode,129.0,139.0,10.0,zsemle-kifli-bagel-baguette-32,zsemle-kifli-bagel-baguette-84
