key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Tesco_product_name,Spar_barcode,Tesco_barcode,Spar_unit_price,Tesco_unit_price,Spar_unit_type,Tesco_unit_type,Spar_unit_step,Tesco_unit_step,Spar_base_price,Tesco_base_price,Spar_categories,Tesco_categories
3083681152333|bonduelle créatif mexico kukoricás zöldségkeverék 300 g,kg,-200.0,-5.775,Bonduelle Créatif Mexico kukoricás zöldségkeverék 300 g,Bonduelle Créatif Mexico kukoricás zöldségkeverék 300 g,3083681152333,03083681152333,1039.0,979.0,g,g,300.0,300.0,3463.333,3263.333,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
3083681157888|bonduelle créatif duo zöldborsó-bébirépa keverék 400 g,kg,-125.0,-5.889,Bonduelle Créatif Duo zöldborsó-bébirépa keverék 400 g,Bonduelle Créatif Duo zöldborsó-bébirépa keverék 400 g,3083681157888,03083681157888,849.0,799.0,g,g,400.0,400.0,2122.5,1997.5,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Egyéb zöldségek"
"3083681163155|bonduelle good lunch vörösbab, rizs, csemegekukorica, grillezett zöldségek keveréke 250 g",kg,-1600.0,-25.173,"Bonduelle Good Lunch vörösbab, rizs, csemegekukorica, grillezett zöldségek keveréke 250 g","Bonduelle Good Lunch vörösbab, rizs, csemegekukorica, grillezett zöldségek keveréke 250 g",3083681163155,03083681163155,1589.0,1189.0,g,g,250.0,250.0,6356.0,4756.0,zoldsegkonzerv-210,Speciális|Vegetáriánus és vegán|Készételek|Készételek
"3228024140213|président petits chèvres zsíros, lágy, natúr kecskesajt 6 db 100 g",kg,-1000.0,-7.413,"Président Petits Chèvres zsíros, lágy, natúr kecskesajt 6 db 100 g","Président Petits Chèvres zsíros, lágy, natúr kecskesajt 6 db 100 g",3228024140213,03228024140213,1349.0,1249.0,g,g,100.0,100.0,13490.0,12490.0,lagy-sajtok-88,"Tejtermék-tojás|Sajtok és túró|Kecske-, juhsajtok|Kecske-, juhsajtok"
3574660412277|neutrogena norvég formula gyorsan beszívódó kézkrém 75 ml,l,-466.667,-2.224,Neutrogena Norvég Formula gyorsan beszívódó kézkrém 75 ml,Neutrogena Norvég Formula gyorsan beszívódó kézkrém 75 ml,3574660412277,03574660412277,1574.0,1539.0,ml,ml,75.0,75.0,20986.667,20520.0,kremek-292,Drogéria|Bőrápolás|Kézápolás|Kézkrémek
3574660549065|neutrogena norvég formula intense repair cica testápoló 400 ml,l,175.0,3.335,Neutrogena Norvég Formula Intense Repair CICA testápoló 400 ml,Neutrogena Norvég Formula Intense Repair CICA testápoló 400 ml,3574660549065,03574660549065,2099.0,2169.0,ml,ml,400.0,400.0,5247.5,5422.5,testapolas-305,Drogéria|Bőrápolás|Testápolás|Testápolók
3574660587524|johnson's bedtime babaolaj 200 ml,l,-425.0,-4.765,Johnson's Bedtime babaolaj 200 ml,Johnson's Bedtime babaolaj 200 ml,3574660587524,03574660587524,1784.0,1699.0,ml,ml,200.0,200.0,8920.0,8495.0,babaapolas-318,Baba|Babaápolási termékek|Babakozmetikumok|Babakozmetikumok
3574660676273|listerine cool mint szájvíz 1 l,l,-15.0,-0.498,Listerine Cool Mint szájvíz 1 l,Listerine Cool Mint szájvíz 1 l,3574660676273,03574660676273,3014.0,2999.0,ml,ml,1000.0,1000.0,3014.0,2999.0,szajapolas-300,"Drogéria|Szájápolás|Szájhigiénia|Szájvizek, szájöblögetők"
3574661021775|listerine cool mint mild taste szájvíz 500 ml,l,-1150.0,-29.129,Listerine Cool Mint Mild Taste szájvíz 500 ml,Listerine Cool Mint Mild Taste szájvíz 500 ml,3574661021775,03574661021775,1974.0,1399.0,ml,ml,500.0,500.0,3948.0,2798.0,szajapolas-300,"Drogéria|Szájápolás|Szájhigiénia|Szájvizek, szájöblögetők"
3574669907712|johnson's bedtime 2 az 1-ben babasampon és babatusfürdő 500 ml,l,-70.0,-2.566,Johnson's Bedtime 2 az 1-ben babasampon és babatusfürdő 500 ml,Johnson's Bedtime 2 az 1-ben babasampon és babatusfürdő 500 ml,3574669907712,03574669907712,1364.0,1329.0,ml,ml,500.0,500.0,2728.0,2658.0,babaapolas-318,Baba|Babaápolási termékek|Babakozmetikumok|Babakozmetikumok
