key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Prima_product_name,Spar_barcode,Prima_barcode,Spar_unit_price,Prima_unit_price,Spar_unit_type,Prima_unit_type,Spar_unit_step,Prima_unit_step,Spar_base_price,Prima_base_price,Spar_categories,Prima_categories
3800233070064|riceup! eat smart puffasztott teljes kiőrlésű barna rizs szelet napraforgómaggal 120 g,kg,300.0,6.679,RiceUp! Eat Smart puffasztott teljes kiőrlésű barna rizs szelet napraforgómaggal 120 g,RiceUp! Eat Smart puffasztott teljes kiőrlésű barna rizs szelet napraforgómaggal 120 g,3800233070064,3800233070064,539.0,575.0,g,g,120.0,120.0,4491.667,4791.667,tortilla-pita-ketszersult-85,muzli-es-egyeb-szelet-78
3800233070071|riceup! eat smart teljes kiőrlésű puffasztott rizs szupermagvakkal 120 g,kg,300.0,6.679,RiceUp! Eat Smart teljes kiőrlésű puffasztott rizs szupermagvakkal 120 g,RiceUp! Eat Smart teljes kiőrlésű puffasztott rizs szupermagvakkal 120 g,3800233070071,3800233070071,539.0,575.0,g,g,120.0,120.0,4491.667,4791.667,tortilla-pita-ketszersult-85,muzli-es-egyeb-szelet-78
3800233070088|riceup! eat smart puffasztott teljes kiőrlésű barna rizs szelet tökmaggal 120 g,kg,300.0,6.679,RiceUp! Eat Smart puffasztott teljes kiőrlésű barna rizs szelet tökmaggal 120 g,RiceUp! Eat Smart puffasztott teljes kiőrlésű barna rizs szelet tökmaggal 120 g,3800233070088,3800233070088,539.0,575.0,g,g,120.0,120.0,4491.667,4791.667,tortilla-pita-ketszersult-85,glutenmentes-elelmiszer-32
3800233070118|riceup! eat smart teljes kiőrlésű barna rizs chips hagymás-tejfölös ízesítéssel 60 g,kg,600.0,6.679,RiceUp! Eat Smart teljes kiőrlésű barna rizs chips hagymás-tejfölös ízesítéssel 60 g,RiceUp! Eat Smart teljes kiőrlésű barna rizs chips hagymás-tejfölös ízesítéssel 60 g,3800233070118,3800233070118,539.0,575.0,g,g,60.0,60.0,8983.333,9583.333,chips-extrudalt-termekek-188,chips-burgonyaszirom-155
3800233070149|riceup! eat smart teljes kiőrlésű barna rizs chips sajtos ízesítéssel 60 g,kg,600.0,6.679,RiceUp! Eat Smart teljes kiőrlésű barna rizs chips sajtos ízesítéssel 60 g,RiceUp! Eat Smart teljes kiőrlésű barna rizs chips sajtos ízesítéssel 60 g,3800233070149,3800233070149,539.0,575.0,g,g,60.0,60.0,8983.333,9583.333,chips-extrudalt-termekek-188,chips-burgonyaszirom-155
3800233070248|riceup! eat smart barna rizs chips paprikás ízesítéssel 60 g,kg,600.0,6.679,RiceUp! Eat Smart barna rizs chips paprikás ízesítéssel 60 g,RiceUp! Eat Smart barna rizs chips paprikás ízesítéssel 60 g,3800233070248,3800233070248,539.0,575.0,g,g,60.0,60.0,8983.333,9583.333,chips-extrudalt-termekek-188,chips-burgonyaszirom-155
3800233073393|riceup! eat smart teljes kiőrlésű barna rizs chips tengeri sóval 60 g,kg,600.0,6.679,RiceUp! Eat Smart teljes kiőrlésű barna rizs chips tengeri sóval 60 g,RiceUp! Eat Smart teljes kiőrlésű barna rizs chips tengeri sóval 60 g,3800233073393,3800233073393,539.0,575.0,g,g,60.0,60.0,8983.333,9583.333,chips-extrudalt-termekek-188,chips-burgonyaszirom-155
3838824085272|fa men deospray sport 150 ml,l,3066.667,54.827,Fa Men deospray Sport 150 ml,Fa Men deospray Sport 150 ml,3838824085272,3838824085272,839.0,1299.0,ml,ml,150.0,150.0,5593.333,8660.0,spray-dezodor-289,ferfi-kozmetikum-206
"3838824086750|schauma 7 gyógynövény sampon lelapulás ellen, zsíros hajra 400 ml",l,1087.5,31.891,"Schauma 7 gyógynövény sampon lelapulás ellen, zsíros hajra 400 ml","Schauma 7 gyógynövény sampon lelapulás ellen, zsíros hajra 400 ml",3838824086750,3838824086750,1364.0,1799.0,ml,ml,400.0,400.0,3410.0,4497.5,hajsampon-301,hajapolas-202
3838824116204|fa deospray pink passion 150 ml,l,3066.667,54.827,Fa deospray Pink Passion 150 ml,Fa deospray Pink Passion 150 ml,3838824116204,3838824116204,839.0,1299.0,ml,ml,150.0,150.0,5593.333,8660.0,spray-dezodor-289,noi-kozmetikum-higienia-205
