key,stores_present,base_unit,min_store,max_store,min_base_price,max_base_price,diff,pct_diff,names_by_store,barcodes_by_store,unit_prices_by_store,unit_steps_by_store,categories_by_store
univer csemege reszelt torma 190 g,Prima;Spar;Tesco,kg,Tesco,Prima,4678.947,5784.211,1105.263,23.622,Prima=Univer csemege reszelt torma 190 g; Spar=Univer csemege reszelt torma 190 g; Tesco=Univer csemege reszelt torma 190 g,Prima=5997010304936; Spar=5997010304936; Tesco=05997010304936,Prima=1099.0; Spar=995.0; Tesco=889.0,Prima=190.0 g; Spar=190.0 g; Tesco=190.0 g,"Prima=torma-112; Spar=ketchup-mustar-majonez-torma-224; Tesco=Alapvető élelmiszerek|Szószok, mártások, poralapok|Ketchup, mustár, torma, majonéz|Torma"
bords eve natúr - csökkentett zsírtartalmú margarin 500 g,Prima;Spar;Tesco,kg,Tesco,Prima,1212.0,1498.0,286.0,23.597,Prima=Bords Eve Natúr - csökkentett zsírtartalmú margarin 500 g; Spar=Bords Eve Natúr - csökkentett zsírtartalmú margarin 500 g; Tesco=Bords Eve Natúr - csökkentett zsírtartalmú margarin 500 g,Prima=5900247001202; Spar=5900247001202; Tesco=05900247001202,Prima=749.0; Spar=656.0; Tesco=606.0,Prima=500.0 g; Spar=500.0 g; Tesco=500.0 g,"Prima=margarin-49; Spar=vaj-margarin-100; Tesco=Tejtermék-tojás|Vaj, margarin|Margarin|Csészés margarin"
bords eve vitaminokkal - csökkentett zsírtartalmú margarin 500 g,Prima;Tesco,kg,Tesco,Prima,1212.0,1498.0,286.0,23.597,Prima=Bords Eve Vitaminokkal - csökkentett zsírtartalmú margarin 500 g; Tesco=Bords Eve Vitaminokkal - csökkentett zsírtartalmú margarin 500 g,Prima=5900247002018; Tesco=05900247002018,Prima=749.0; Tesco=606.0,Prima=500.0 g; Tesco=500.0 g,"Prima=margarin-49; Tesco=Tejtermék-tojás|Vaj, margarin|Margarin|Csészés margarin"
dr. oetker feliciana gyorsfagyasztott pizza sonkával és pesto szósszal 360 g,Prima;Spar,kg,Prima,Spar,3886.111,4802.778,916.667,23.588,Prima=Dr. Oetker Feliciana gyorsfagyasztott pizza sonkával és pesto szósszal 360 g; Spar=Dr. Oetker Feliciana gyorsfagyasztott pizza sonkával és pesto szósszal 360 g,Prima=5900437007113; Spar=5900437007113,Prima=1399.0; Spar=1729.0,Prima=360.0 g; Spar=360.0 g,Prima=fagyasztott-pizza-134; Spar=pizzak-196
knorr mexikói chilis bab alap 75 g,Spar;Tesco,kg,Tesco,Spar,8253.333,10200.0,1946.667,23.586,Spar=Knorr mexikói chilis bab alap 75 g; Tesco=Knorr mexikói chilis bab alap 75 g,Spar=8721317726828; Tesco=08721317726828,Spar=765.0; Tesco=619.0,Spar=75.0 g; Tesco=75.0 g,"Spar=alapporok-231; Tesco=Alapvető élelmiszerek|Szószok, mártások, poralapok|Poralapok|Poralapok húsokhoz, mártásokhoz"
ricola fresh mint cukormentes svájci gyógynövény cukorkák édesítőszerekkel 40 g,Spar;Tesco,kg,Tesco,Spar,16975.0,20975.0,4000.0,23.564,Spar=Ricola Fresh Mint cukormentes svájci gyógynövény cukorkák édesítőszerekkel 40 g; Tesco=Ricola Fresh Mint cukormentes svájci gyógynövény cukorkák édesítőszerekkel 40 g,Spar=7610700026571; Tesco=07610700026571,Spar=839.0; Tesco=679.0,Spar=40.0 g; Tesco=40.0 g,"Spar=cukormentes-78; Tesco=Alapvető élelmiszerek|Cukorkák, rágógumik és egyéb édességek|Cukorkák, rágógumik|Kemény cukorkák"
colgate zig zag közepes fogkefe 2 db,Spar;Tesco,db,Tesco,Spar,339.5,419.5,80.0,23.564,Spar=Colgate Zig Zag közepes fogkefe 2 db; Tesco=Colgate Zig Zag közepes fogkefe 2 db,Spar=5900273113191; Tesco=05900273113191,Spar=839.0; Tesco=679.0,Spar=2.0 db; Tesco=2.0 db,Spar=fogkefe-298; Tesco=Drogéria|Szájápolás|Fogkefék|Fogkefék
"kalinka vodka 37,5% 0,2 l",Spar;Tesco,l,Tesco,Spar,7645.0,9445.0,1800.0,23.545,"Spar=Kalinka vodka 37,5% 0,2 l; Tesco=Kalinka vodka 37,5% 0,2 l",Spar=5995099444093; Tesco=05995099444093,Spar=1889.0; Tesco=1529.0,Spar=200.0 ml; Tesco=200.0 ml,Spar=vodka-243; Tesco=Italok|Szeszes italok|Vodka|Vodka
parodontax complete protection whitening fluoridos fogkrém 75 ml,Spar;Tesco,l,Tesco,Spar,22653.333,27986.667,5333.333,23.543,Spar=Parodontax Complete Protection Whitening fluoridos fogkrém 75 ml; Tesco=Parodontax Complete Protection Whitening fluoridos fogkrém 75 ml,Spar=5054563948281; Tesco=05054563227553,Spar=2099.0; Tesco=1699.0,Spar=75.0 ml; Tesco=75.0 ml,Spar=fogkrem-299; Tesco=Drogéria|Szájápolás|Fogkrémek|Fogkrémek
finish powerball quantum citrom mosogatógép kapszula 60 db 624 g,Prima;Tesco,kg,Tesco,Prima,9599.359,11857.372,2258.013,23.523,Prima=Finish Powerball Quantum Citrom mosogatógép kapszula 60 db 624 g; Tesco=Finish Powerball Quantum Citrom mosogatógép kapszula 60 db 624 g,Prima=5999109583383; Tesco=05999109583383,Prima=7399.0; Tesco=5990.0,Prima=624.0 g; Tesco=624.0 g,Prima=gepi-mosogatoszer-221; Tesco=Háztartás|Mosogatáshoz|Gépi mosogatás|Tabletták
"olympos citrom ízesítő 50% citromlé tartalommal 0,5 l",Prima;Spar;Tesco,l,Tesco,Prima,938.0,1158.0,220.0,23.454,"Prima=Olympos citrom ízesítő 50% citromlé tartalommal 0,5 l; Spar=Olympos citrom ízesítő 50% citromlé tartalommal 0,5 l; Tesco=Olympos citrom ízesítő 50% citromlé tartalommal 0,5 l",Prima=5998821516297; Spar=5998821516297; Tesco=05998821516297,Prima=579.0; Spar=549.0; Tesco=469.0,Prima=500.0 ml; Spar=500.0 ml; Tesco=500.0 ml,"Prima=ecet-citromle-122; Spar=szorp-207; Tesco=Italok|Szörpök, italporok, citromlevek|Citromlevek|Citromlevek"
"royal original vodka 37,5% 0,7 l",Prima;Spar,l,Spar,Prima,7348.571,9070.0,1721.429,23.425,"Prima=Royal Original vodka 37,5% 0,7 l; Spar=Royal Original vodka 37,5% 0,7 l",Prima=5998821516808; Spar=5998821516808,Prima=6349.0; Spar=5144.0,Prima=700.0 ml; Spar=700.0 ml,Prima=vodka-189; Spar=vodka-243
