index,category_id,name,display_name,url_category_path,parent_category_id,parent_url_category_path,depth,amounts,child_count,is_leaf,path,path_ids,image_url
353,Nápolyi,Nápolyi,Nápolyi,élelmiszer/édesség-és-snack/édes-keksz/nápolyi,édesKeksz,élelmiszer/édesség-és-snack/édes-keksz,3,94,0,true,Élelmiszer > Édesség és snack > Édes keksz > Nápolyi,Élelmiszer|édessegEsSnack|édesKeksz|Nápolyi,https://cdn.metro-group.com/hu/hu_pim_943964001001_01.png
354,Sutemenyek_1739429802824,Sütemény,Sütemény,élelmiszer/édesség-és-snack/édes-keksz/sütemény,édesKeksz,élelmiszer/édesség-és-snack/édes-keksz,3,27,0,true,Élelmiszer > Édesség és snack > Édes keksz > Sütemény,Élelmiszer|édessegEsSnack|édesKeksz|Sutemenyek_1739429802824,https://cdn.metro-group.com/hu/hu_pim_115109001001_02.png
355,Mezeskalács,Mézeskalács,Mézeskalács,élelmiszer/édesség-és-snack/édes-keksz/mézeskalács,édesKeksz,élelmiszer/édesség-és-snack/édes-keksz,3,11,0,true,Élelmiszer > Édesség és snack > Édes keksz > Mézeskalács,Élelmiszer|édessegEsSnack|édesKeksz|Mezeskalács,https://cdn.metro-group.com/hu/hu_pim_71289001001_02.png
356,reggeliGabonapehely,Reggeliző gabonapehely,Reggeliző gabonapehely,élelmiszer/édesség-és-snack/reggeliző-gabonapehely,édessegEsSnack,élelmiszer/édesség-és-snack,2,116,4,false,Élelmiszer > Édesség és snack > Reggeliző gabonapehely,Élelmiszer|édessegEsSnack|reggeliGabonapehely,https://cdn.metro-group.com/hu/hu_pim_161016001001_02.png
357,Muzliszeletek,Müzlirudak,Müzlirudak,élelmiszer/édesség-és-snack/reggeliző-gabonapehely/müzlirudak,reggeliGabonapehely,élelmiszer/édesség-és-snack/reggeliző-gabonapehely,3,32,0,true,Élelmiszer > Édesség és snack > Reggeliző gabonapehely > Müzlirudak,Élelmiszer|édessegEsSnack|reggeliGabonapehely|Muzliszeletek,https://cdn.metro-group.com/hu/hu_pim_91380001001_02.png
358,Gabonapelyhek,Gabonapelyhek,Gabonapelyhek,élelmiszer/édesség-és-snack/reggeliző-gabonapehely/gabonapelyhek,reggeliGabonapehely,élelmiszer/édesség-és-snack/reggeliző-gabonapehely,3,62,0,true,Élelmiszer > Édesség és snack > Reggeliző gabonapehely > Gabonapelyhek,Élelmiszer|édessegEsSnack|reggeliGabonapehely|Gabonapelyhek,https://cdn.metro-group.com/hu/hu_pim_161016001001_02.png
359,Gabonaszeletek,Gabonaszeletek,Gabonaszeletek,élelmiszer/édesség-és-snack/reggeliző-gabonapehely/gabonaszeletek,reggeliGabonapehely,élelmiszer/édesség-és-snack/reggeliző-gabonapehely,3,7,0,true,Élelmiszer > Édesség és snack > Reggeliző gabonapehely > Gabonaszeletek,Élelmiszer|édessegEsSnack|reggeliGabonapehely|Gabonaszeletek,https://cdn.metro-group.com/hu/hu_pim_165346001001_02.png
360,instantGabonatermekek,Instant gabonatermékek,Instant gabonatermékek,élelmiszer/édesség-és-snack/reggeliző-gabonapehely/instant-gabonatermékek,reggeliGabonapehely,élelmiszer/édesség-és-snack/reggeliző-gabonapehely,3,15,0,true,Élelmiszer > Édesség és snack > Reggeliző gabonapehely > Instant gabonatermékek,Élelmiszer|édessegEsSnack|reggeliGabonapehely|instantGabonatermekek,https://cdn.metro-group.com/hu/hu_pim_102847001001_01.png
361,sósRopogtatnivaló,Sós ropogtatnivaló,Sós ropogtatnivaló,élelmiszer/édesség-és-snack/sós-ropogtatnivaló,édessegEsSnack,élelmiszer/édesség-és-snack,2,200,4,false,Élelmiszer > Édesség és snack > Sós ropogtatnivaló,Élelmiszer|édessegEsSnack|sósRopogtatnivaló,https://cdn.metro-group.com/hu/hu_pim_144953001001_01.png
362,Chips,Chips,Chips,élelmiszer/édesség-és-snack/sós-ropogtatnivaló/chips,sósRopogtatnivaló,élelmiszer/édesség-és-snack/sós-ropogtatnivaló,3,120,0,true,Élelmiszer > Édesség és snack > Sós ropogtatnivaló > Chips,Élelmiszer|édessegEsSnack|sósRopogtatnivaló|Chips,https://cdn.metro-group.com/hu/hu_pim_146071001001_02.png
