store,product_name,barcode,unit_price,unit_step,unit_type,base_price,base_unit,reason,categories
Tesco,Panzi Fit Active Spot-On bolha- és kullancsriasztó kutyák részére M 5 x 2 ml,05998274308838,2919.0,10.0,ml,291900.0,l,too_high,Kisállat|Kutyaeledelek & Kiegészítők|Ápolás|Élősködők elleni védelem
Tesco,Ambi Pur Fürdőszobai Légfrissítő - Folyamatos Szagsemlegesítés És Szagmegelőzés Gold Orchid 1 X,08006530307444,2329.0,8.0,ml,291125.0,l,too_high,Háztartás|Légfrissítés|Zselés illatosítók|Zselés illatosítók
Tesco,NIVEA Cellular Expert Filler Hialuron feltöltő szérum 15 ml,09005800388540,4079.0,15.0,ml,271933.333,l,too_high,Drogéria|Bőrápolás|Arcápolás|Arckrémek
Tesco,"ĽOréal Paris Revitalift Filler ránctalanító szérum 1 ,5 % tiszta hialuronsavval, 30 ml",03600524028763,7990.0,30.0,ml,266333.333,l,too_high,Drogéria|Bőrápolás|Arcápolás|Arckrémek
Spar,Ambi Pur Fürdőszobai Légfrissítő - Folyamatos Szagsemlegesítés És Szagmegelőzés Cotton Fresh 1 X,8700216014434,2099.0,8.0,ml,262375.0,l,too_high,legfrissito-278
Tesco,Air Wick Pamut és Fehér Orchidea aroma diffúzor készülék és utántöltő 20 ml,05949152113464,5190.0,20.0,ml,259500.0,l,too_high,Háztartás|Légfrissítés|Diffúzorok|Diffúzorok
Tesco,Air Wick Fehér Bazsarózsa és Jázminvirág aroma diffúzor készülék és utántöltő 20 ml,05999109546043,5190.0,20.0,ml,259500.0,l,too_high,Háztartás|Légfrissítés|Diffúzorok|Diffúzorok
Tesco,Air Wick Cseresznyevirág és Málna aroma diffúzor készülék és utántöltő 20 ml,05907458610179,5190.0,20.0,ml,259500.0,l,too_high,Háztartás|Légfrissítés|Diffúzorok|Diffúzorok
Tesco,ICO színes tempera festékek 10 db 16 ml,08593540012227,4049.0,16.0,ml,253062.5,l,too_high,"Otthon-hobbi|Iskolai és irodai kellékek|Színezés|Tempera, vízfesték, ecset"
Tesco,NIVEA Q10 Collagen Expert 3 az 1-ben regeneráló szérum 30 ml,09005800398907,7499.0,30.0,ml,249966.667,l,too_high,Drogéria|Bőrápolás|Arcápolás|Arckrémek
Tesco,Paloma Woody Oriental Spices levegőillatosító 4 ml,05997270730155,999.0,4.0,ml,249750.0,l,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
