store,basis,key,count,names,barcodes,unit_steps
Tesco,name,pet specialist teljes értékű állateledel felnőtt macskák számára falatok aszpikban 4 x 100 g (400 g),2,Pet Specialist teljes értékű állateledel felnőtt macskák számára falatok aszpikban 4 x 100 g (400 g),05059944696393 | 05059944696430,400.0 g
Tesco,name,színes rtv,2,Színes RTV,09771217421001 | 09771217421100,1.0 db
Tesco,name,stor tálkészlet 6 db,2,Stor tálkészlet 6 db,08412497006212 | 08412497981311,6.0 db
Tesco,name,tesco home rozsdamentes acél szűrő,2,Tesco Home rozsdamentes acél szűrő,02280641669806 | 05059697742545,1.0 db
Tesco,name,tesco rozsdamentes acél kanál 4 db,2,Tesco rozsdamentes acél kanál 4 db,05057753104511 | 05057753104535,4.0 db
Tesco,name,tesco home konyhai csipesz,2,Tesco Home konyhai csipesz,02280641669776 | 05059697391484,1.0 db
Tesco,name,somogyi home földelt hálózati t-elosztó,2,Somogyi Home földelt hálózati T-elosztó,05999084923457 | 05999084929565,1.0 db
Tesco,name,tesco home vágódeszka 3 db,2,Tesco Home vágódeszka 3 db,05054548715136 | 05057373274045,3.0 db
Tesco,name,tesco home linen illatos gyertya,2,Tesco Home Linen illatos gyertya,05063249351963 | 05063249352045,1.0 db | 299.998 g
Tesco,name,tesco home vágódeszka,2,Tesco Home vágódeszka,05000436925040 | 05054775897131,1.0 db
Tesco,name,handy áttetsző festő takarófólia 4 x 5 m,2,Handy áttetsző festő takarófólia 4 x 5 m,05999117005297 | 05999117005310,1.0 db
Tesco,name,tesco home office kék golyóstoll 10 db,2,Tesco Home Office kék golyóstoll 10 db,05054268523158 | 05054402892515,10.0 db
Tesco,name,telenovella,2,Telenovella,09772498898001 | 09772498898018,1.0 db
Tesco,name,tesco home office a5-ös jegyzetfüzet,2,Tesco Home Office A5-ös jegyzetfüzet,05054548696770 | 05057373103529,1.0 db
Tesco,name,stor evőeszköz készlet 18 db,2,Stor evőeszköz készlet 18 db,08412497006243 | 08412497981342,18.0 db
Tesco,name,tesco home office színes golyóstoll 10 db,2,Tesco Home Office színes golyóstoll 10 db,05053526205232 | 05053526205249,10.0 db
Tesco,name,handy általános ragasztószalag textil szállal 10 m,2,Handy általános ragasztószalag textil szállal 10 m,05999117005273 | 05999117005280,1.0 db
Tesco,name,tesco home kábel usb-c csatlakozókkal 1 m,3,Tesco Home kábel USB-C csatlakozókkal 1 m,05054548731983 | 05054548732003 | 05059697497308,1.0 db
Tesco,name,tesco home usb kábel usb-c csatlakozóval 1 m,2,Tesco Home USB kábel USB-C csatlakozóval 1 m,05054548731907 | 05057967461141,1.0 db
Tesco,name,tesco home e14 ses 470 lm 40 w 2700k led gyertya,2,Tesco Home E14 SES 470 lm 40 W 2700K LED gyertya,02280641675784 | 02280641715961,1.0 db
Tesco,name,"f&f hi leg fazonú alsónemű, 5 db/csomag 38",2,"F&F Hi Leg fazonú alsónemű, 5 db/csomag 38",05063065993644 | 05063249122761,5.0 db
Tesco,name,handy festőecset szett 3 db,2,Handy Festőecset szett 3 db | Handy festőecset szett 3 db,05999117000056 | 05999117005471,3.0 db
Tesco,name,tesco home usb kábel micro usb csatlakozóval 2 m,3,Tesco Home USB kábel Micro USB csatlakozóval 2 m | Tesco Home USB kábel micro USB csatlakozóval 2 m,05054548731822 | 05054548732362 | 05057753106096,1.0 db
Tesco,name,student sima füzet a4,2,Student sima füzet A4,05997072147120 | 05997361564485,1.0 db
Tesco,name,student vonalas füzet a4,2,Student vonalas füzet A4,05997361564461 | 05997361564478,1.0 db
Tesco,name,tesco home office a4-es gyorsfűző,2,Tesco Home Office A4-es gyorsfűző,05054548691683 | 05054548691706,1.0 db
Tesco,name,műanyag irattartó tálca,2,Műanyag irattartó tálca,05906874463635 | 05906874463642,1.0 db
Tesco,name,tesco home office gumis papír iratgyűjtő mappa,2,Tesco Home Office gumis papír iratgyűjtő mappa,05050172039563 | 05054548696855,1.0 db
Tesco,name,tesco home office tűzőgép,2,Tesco Home Office tűzőgép,05054548696459 | 05059316765900,1.0 db
Tesco,name,mondo focilabda,2,Mondo focilabda,08001011010479 | 08001011139897,1.0 db
Tesco,name,fox & ivy muse szürke kőporcelán tányér,2,Fox & Ivy Muse szürke kőporcelán tányér,05059944464725 | 05059944464749,1.0 db
Tesco,name,stor paw p large ecozen palack 580 ml,2,Stor Paw P Large Ecozen palack 580 ml,08412497745333 | 08412497746330,580.0 ml
Tesco,name,stor paw school palack 370 ml,2,Stor Paw School palack 370 ml,08412497745104 | 08412497746101,370.0 ml
Tesco,name,handy festőhenger 100 mm 2 db,2,Handy festőhenger 100 mm 2 db,05999117004399 | 05999117004542,2.0 db
Tesco,name,handy festőhenger szett,2,Handy festőhenger szett,05999117004429 | 05999117004481,1.0 db
Tesco,name,carbotex paw patrol párna 40 x 40 cm,2,Carbotex Paw Patrol párna 40 x 40 cm,05905742036278 | 05905742036285,1.0 db
Tesco,name,bolsius mécses,2,Bolsius mécses,08717847157881 | 08717847189080,1.0 db
Tesco,name,go cook silicone spatula,2,Go Cook Silicone spatula,05063445789980 | 05063445805741,1.0 db
Tesco,name,f&f home honey suckle floral bouquet ajándékszett,2,F&F Home Honey Suckle Floral Bouquet ajándékszett,05063445792430 | 05063446483887,1.0 db
Tesco,name,tesco home office irattartó mappa 335 x 240 mm,2,Tesco Home Office irattartó mappa 335 x 240 mm,05052109982751 | 05053526799069,1.0 db
Tesco,name,f&f home fehér szappanadagoló,2,F&F Home fehér szappanadagoló,05059697269080 | 05059697743030,1.0 db
