store_product_id,product_name,barcode,normalized_unit_price,normalized_step,normalized_unit,tesco_actual,tesco_unit_price,tesco_measure,derived_step_from_tesco_unit_price,derived_unit,ratio,categories
100080706,"Gillette Fusion5 Borotvabetétek Férfi Borotvához, 12 Borotvabetétek, 5 Penge, Precíziós Nyíró",08006540986141,17790.0,1.0,db,17790,1482.5,each,12.0,db,12.0,"Drogéria|Férfi borotválkozás|Borotvakészülékek, borotvák|Borotvakészülékek, borotvák"
100080711,"Gillette Mach3 Férfi Borotvabetétek, 12 Gillette 3 Pengés Borotvabetétek",08006530028875,10990.0,1.0,db,10990,915.8,each,12.0,db,12.0,"Drogéria|Férfi borotválkozás|Borotvakészülékek, borotvák|Borotvakészülékek, borotvák"
100659236,Tesco Home 12 db-os muffinsütő forma,05059697468292,3299.0,12.0,db,3299,3299.0,each,1.0,db,12.0,Otthon-hobbi|Otthon|Konyha és étkező|Sütés-főzés eszközök
100331587,Tesco Home Aura fekete étkészlet 12 db-os,05057753456894,16799.0,12.0,db,16799,16799.0,each,1.0,db,12.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
100863656,F&F Home Pearce Square étkészlet 12 db-os,05059697261589,27590.0,12.0,db,27590,27590.0,each,1.0,db,12.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
100331634,Tesco Home Turin étkészlet zöld 12 db-os,05057753811051,16799.0,12.0,db,16799,16799.0,each,1.0,db,12.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
100877267,Addo Awesome Animals Dinosaurs dinoszaurusz figurák dobozban 12 db,05060460352229,4099.0,12.0,db,4099,4099.0,each,1.0,db,12.0,Otthon-hobbi|Játékok|Fiúknak|Fiúknak
100864847,Fox & Ivy Petal Cream étkészlet 12 db,05059697726286,23990.0,12.0,db,23990,23990.0,each,1.0,db,12.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
100882163,Moxy nyomda készlet 12 db,05999576550598,1639.0,12.0,db,1639,1639.0,each,1.0,db,12.0,Otthon-hobbi|Játékok|Kreatív játékok|Kreatív játékok
100952171,F&F Home Logan Green étkészlet 12 db-os,05063445805574,23990.0,12.0,db,23990,23990.0,each,1.0,db,12.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
100956603,F&F Home Essence White étkészlet 12 db-os,05063445801149,9299.0,12.0,db,9299,9299.0,each,1.0,db,12.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
105010149,"Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 12 Darabos Kiszerelés",08700216148146,4249.0,1.0,db,4249,354.1,each,11.999,db,11.999,"Drogéria|Férfi borotválkozás|Borotvakészülékek, borotvák|Borotvakészülékek, borotvák"
100080637,Always Ultra Secure Night Egészségügyi Betét (4-es Méret) Szárnyas Betét x 12],04015400612469,1369.0,1.0,db,1369,114.1,each,11.998,db,11.998,Drogéria|Női higiénia|Intim betétek|Intim betétek
100600495,Colorino Artist 12 darabos grafitceruza készlet,05907690880118,3429.0,1.0,db,3429,285.8,each,11.998,db,11.998,"Otthon-hobbi|Iskolai és irodai kellékek|Színezés|Tempera, vízfesték, ecset"
100378374,Zsírkréta 12 színben,05906874463567,229.0,1.0,db,229,19.1,each,11.99,db,11.99,"Otthon-hobbi|Iskolai és irodai kellékek|Színezés|Színes ceruzák, filctoll, kréták"
100378377,Vízfesték ecsettel 12 szín,05906874463550,399.0,1.0,db,399,33.3,each,11.982,db,11.982,"Otthon-hobbi|Iskolai és irodai kellékek|Színezés|Tempera, vízfesték, ecset"
220378305,Csokoládés croissant 80 g,05413476336996,299.0,80.0,g,299,314.7,kg,950.111,g,11.876,Pékáru|Friss pékáru|Reggeliző termék|Reggeliző termék
220319003,"Swiffer Sweeper Kezdőkészet: 1 db Felmosó, 8. db Száraz és 3. db Nedves Felmosókendő Utántöltő",08006540316764,6790.0,1.0,db,6790,617.3,each,11.0,db,11.0,"Háztartás|Tisztítószerek, takarítóeszközök|Padlő-, szőnyeg- és kárpittisztítás|Padló"
