store_name,product_name,api_step,api_unit,jellemzo,jellemzo_unit,nev_parse,kategoria,kozelebb_nevhez
Metro,"Unicum Orange Bitter Narancsos Gyógynövénylikőr 34,5% 12 x 40 ml",480,ml,40,ml,40ml,ar_derivalt_API_hiba,jellemzo
Metro,Mátyás keserű likőr 33% 24 x 40 ml,40,ml,960,ml,40ml,egyeb,api
Metro,St. Hubertus Eredeti gyógynövénylikőr 33% 500 ml + Vérnarancs likőr 32% 40 ml,500,ml,540,ml,40ml,egyeb,?
Metro,St. Hubertus Vérnarancs likőr 32% 500 ml + Vérnarancs likőr 32% 40 ml,500,ml,540,ml,40ml,egyeb,?
Metro,Tatratea eredeti 52% 20X0.04L,400,ml,800,ml,40ml,egyeb,api
Metro,"YASSNAYA Klasszikus Orosz Vodka 37,5% 24 x 40 ml",40,ml,960,ml,40ml,egyeb,api
Metro,Red Bull magas koffeintartalmú szénsavas energiaital 355 ml,335,ml,355,ml,355ml,egyeb,jellemzo
Metro,Topjoy Fruits of the World mangó-alma-narancs-citrom ital 1 l,1000,ml,1045,ml,1000ml,egyeb,api
Metro,Topjoy Fruits Of The World Alma - Lime - Kaktusz Ital 1 l,1000,ml,1120,ml,1000ml,egyeb,api
Metro,Cappy 100% Almalé Visszaválthatós Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,Cappy Őszibarack Nektár 40% Visszaváltós Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,HAPPY DAY 100%-os Narancslé 3 x 200 ml,600,ml,200,ml,200ml,egyeb,jellemzo
Metro,HAPPY DAY 100%-os Almalé 3 x 200 ml,600,ml,200,ml,200ml,egyeb,jellemzo
Metro,HAPPY DAY Rauch eperital C-vitaminnal 1 l,1000,ml,1,ml,1000ml,ar_derivalt_API_hiba,api
Metro,"Cappy Ice Fruit Zero Sugar szénsavmentes mangó-maracuja ízű ital, édesítőszerekkel 500 ml",500,ml,533,ml,500ml,egyeb,api
Metro,Cappy 100% Narancslé Visszaválthatós Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,"Cappy Lemonade szénsavmentes bogyósgyümölcsízű citromos üdítőital édesítőszerekkel 1,25 l",1250,ml,1280,ml,1250ml,egyeb,api
Metro,MÁRKA Citromos jeges Tea 330 ml,33,ml,330,ml,330ml,egyeb,jellemzo
Metro,MÁRKA Őszíbarackízű Szénsavmentes Üdítőital Fekete tea Kivonattal és Cukorral 330 ml,33,ml,330,ml,330ml,egyeb,jellemzo
Metro,fuzetea Szénsavmentes Citromos Üdítőital Visszaváltható Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,Fanta Halloween Zero 1.75L,1750,ml,1500,ml,1750ml,egyeb,api
Metro,Coca Cola Szénsavas Üdítőital Visszaváltható Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,Coca Cola Zero Cukormentes Szénsavas Üdítőital visszaváltható Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
