store_name,store_product_id,product_name,unit_step,unit_type,tipus,javasolt_mennyiseg,javasolt_egyseg,bizonyossag,indok,local_image_paths
Aldi,540758,Görögdinnye lédig,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/f4bf202edf02515e.jpg
Aldi,533503,Padlizsán kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/ac34228416fa1e8b.jpg
Aldi,533457,Paprika tv kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/2a67dd0e790e103f.jpg
Aldi,749212,Burgonya sárga lédig,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/d6d70b411437ae97.jpg
Aldi,537243,Fejes káposzta kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/4f5147cb76a9bf10.jpg
Aldi,4600278,Vöröshagyma kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/412c16addd5da21d.jpg
Aldi,533585,Fejes káposzta új kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/a86deeb0f212380e.jpg
Aldi,904168,Alma piros kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/358e6837e69f8527.jpg
Aldi,533472,Alma Golden kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/779a8be2c0ed2ae0.jpg
Aldi,533305,Alma Jonagold kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/07f7fd628d27a1ac.jpg
Aldi,533308,Alma Idared kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/39b92da396ce40df.jpg
Aldi,916065,Alma Gála kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/48ef73c588662716.jpg
Aldi,533555,Paradicsom fürtös kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/d84803d59b7f50a0.jpg
Aldi,1059217,Lilahagyma kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/4d294c1c65bcbd2f.jpg
Aldi,533471,Körte Conference kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/5b688c6b91286d95.jpg
Aldi,533393,Zeller kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/c2d75c190d9ecdac.jpg
Aldi,533395,Sárgarépa kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/f887701be3ee0ceb.jpg
Aldi,541497,Alma Crimson kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/3b5a3b379b0787af.jpg
Aldi,748861,Húsparadicsom kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/9c25c28acb9f1937.jpg
