store_name,store_product_id,product_name,korrekcio_tipus,eredeti_mennyiseg,eredeti_egyseg,javitott_mennyiseg,javitott_egyseg,indok,forras
Metro,BTY-X4342400320021,"Friss Csirkeszárny, Vákuumcsomagolt",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X5528900320021,"Friss Csirke Felsőcombfilé, Import",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X4337600320021,Friss Csirke Alsócomb,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X4339400320021,Friss Csirke Felsőcomb,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X13633000320021,"Friss Csirkemellfilé, Védőgázos fóliában",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X5529500320021,"Friss Csirke Zúza, Import",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X11179100320021,Friss Csirkecombfilé Csík,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X4338800320021,Friss Csirke Egészcomb,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X5529000320021,Friss Csirkemell Supreme,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X2002600320021,Tanyasi Friss Csirkecomb Védőgázos,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X48223000320021,Friss Tanyasi Csirke Zsugortasakos,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X16858000320021,Iványi Kukoricás Csirkeszárny,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X16857800320021,Iványi - Kukoricás Csirkecomb Egész,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X11179400320021,Friss Csirke Felsőcomb kb.15 x 120 g,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X4342900320021,"Friss Grillcsirke, Tasakban",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
