barcode_norm,product_name_old,product_name_new,category_norm_old,category_norm_new,category_base_old,category_base_new,unit_price_old,unit_price_new
8041790200203,Bertolli Originale extra szűz olívaolaj 500 ml,Bertolli Originale extra szűz olívaolaj 500 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,4724.0,4724.0
8002470017702,Bertolli extra szűz olívaolaj spray 200 ml,Bertolli extra szűz olívaolaj spray 200 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,3099.0,3099.0
5010338101749,Blue Dragon rizsecet 150 ml,Blue Dragon rizsecet 150 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,1604.0,1604.0
8594006881081,Burg Ecet 5%-os almaecet 1 l,Burg Ecet 5%-os almaecet 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,1069.0,1069.0
8594006880664,Burg Ecet ételecet 10% 1 l,Burg Ecet ételecet 10% 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,579.0,579.0
8594006880701,Burg Ecet ételecet 20% 1 l,Burg Ecet ételecet 20% 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,674.0,674.0
5999885319008,Coco24 kókuszolaj 1000 ml,Coco24 kókuszolaj 1000 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,3149.0,3149.0
8001300240747,"DESPAR PREMIUM olasz ecetkülönlegesség 2,7% 250 ml","DESPAR PREMIUM olasz ecetkülönlegesség 2,7% 250 ml",antipasti-159,savanyusag-161,antipasti,savanyusag,794.0,794.0
9100000767659,DESPAR PREMIUM olasz ecetkülönlegesség szőlőmust sűrítményből és borecetből 250 ml,DESPAR PREMIUM olasz ecetkülönlegesség szőlőmust sűrítményből és borecetből 250 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,3744.0,3744.0
8001300243441,DESPAR extraszűz olívaolaj 1 l,DESPAR extraszűz olívaolaj 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,5564.0,5564.0
9100000052397,DESPAR modenai balzsamecet 6% 500 ml,DESPAR modenai balzsamecet 6% 500 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,1390.0,1390.0
8424536921455,Floriol Cooking hevíthető olívaolaj sütéshez 500 ml,Floriol Cooking hevíthető olívaolaj sütéshez 500 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,4149.0,4149.0
